goods_id,商品名,商品名_原文,ジャンル,ジャンル_原文,直近成約価格_円,直近成約日,直近30日間の成約数_近似,直近30日間の平均成約価格_円,現在出品最安値_円,現在出品最高値_円,現在出品参考価格_円,現在出品数,備考,取得日
451,CS LR4:ドラゴンフォース 豪華版(専属),CS/LR-4: Dragon Force Enjoy Edition (Exclusive),不明（カテゴリタグなし）,,6412,2026-07-13,6,5375,6496,9127,5671,7,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
452,CS LR4:ドラゴンフォース 旗艦版(専属),CS/LR-4: Dragon Force Flagship Edition (exclusive),不明（カテゴリタグなし）,,9996,2026-07-18,39,9824,9707,10699,11277,7,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
453,M27:ドラゴンフォース 先鋒版(専属),M27: Dragon Force Vanguard Edition (Exclusive),銃器,Weapon,,,,,1624,8953,3248,42,直近30日間の取引データなし,2026-07-18
454,M27:ドラゴンフォース 豪華版(専属),M27: Dragon Force Enjoy Edition (Exclusive),銃器,Weapon,3248,2026-07-07,2,3248,3248,12992,6496,11,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
466,HK50:炎炎ノ消防隊 先鋒版(専属),HK50: Blaze Firefighters Vanguard Edition (Exclusive),銃器,Weapon,490,2026-06-28,1,490,796,6032,812,26,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
467,HK50:炎炎ノ消防隊 豪華版(専属),HK50: Blaze Firefighters Enjoy Edition (Exclusive),銃器,Weapon,973,2026-06-27,1,973,1054,2689,1624,8,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
468,HK50:炎炎ノ消防隊 旗艦版(専属),HK50: Blaze Firefighters Flagship Edition (Exclusive),銃器,Weapon,1760,2026-07-06,4,1512,3248,4872,3248,2,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
469,M860:ハーレイ･クイン 先鋒版(専属),M860: Harley Quinn Vanguard Edition (Exclusive),不明（カテゴリタグなし）,,,,,,1946,4258,812,10,直近30日間の取引データなし,2026-07-18
470,M860:ハーレイ･クイン 豪華版(専属),M860: Harley Quinn Enjoy Edition (Exclusive),不明（カテゴリタグなし）,,2923,2026-06-29,1,2923,3881,4481,1624,3,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
471,M860:ハーレイ･クイン 旗艦版(専属),M860: Harley Quinn Flagship Edition (Exclusive),不明（カテゴリタグなし）,,,,,,6496,7308,3248,6,直近30日間の取引データなし,2026-07-18
472,AUG:ハーレイ･クイン 先鋒版(専属),AUG: Harley Quinn Vanguard Edition (Exclusive),銃器,Weapon,692,2026-07-09,3,431,680,4952,812,23,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
473,AUG:ハーレイ･クイン 豪華版(専属),AUG: Harley Quinn Enjoy Edition (Exclusive),銃器,Weapon,,,,,1851,11597,1624,14,直近30日間の取引データなし,2026-07-18
474,AUG:ハーレイ･クイン 旗艦版(専属),AUG: Harley Quinn Flagship Edition (exclusive),銃器,Weapon,3548,2026-07-07,1,3548,4872,31413,3248,2,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
476,初号機95式 Ⅲ型(専属),QBZ-95: Unit-01 Type III (Exclusive),銃器,Weapon,10200,2026-07-14,13,9041,11142,11709,10264,2,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
477,初号機95式 覚醒型(専属),QBZ-95: Unit-01 Awakening(Exclusive),銃器,Weapon,13966,2026-07-18,53,14103,13780,31454,15400,19,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
478,初号機95式 Ⅱ型(専属),QBZ-95: Unit-01 Type II (Exclusive),銃器,Weapon,3596,2026-07-16,38,4495,4799,10601,4874,8,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
479,初号機95式 Ⅰ型(専属),QBZ-95: Unit-01 Type I (Exclusive),銃器,Weapon,4854,2026-07-16,18,3471,4153,11612,4653,22,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
516,M27:ハンコック Lv.1(専属),M27: Pirate Empress Vanguard Edition (Exclusive),銃器,Weapon,,,,,1142,2923,2923,7,直近30日間の取引データなし,2026-07-18
517,M27:ハンコック Lv.2(専属),M27: Pirate Empress Enjoy Edition (Exclusive),銃器,Weapon,,,,,3555,3555,5197,1,直近30日間の取引データなし,2026-07-18
518,M27:ハンコック Lv.3(専属),M27: Pirate Empress Advanced Edition (Exclusive),銃器,Weapon,,,,,0,0,10069,0,直近30日間の取引データなし,2026-07-18
519,M27:ハンコック Lv.4(専属),M27: Pirate Empress Flagship Edition (Exclusive),銃器,Weapon,,,,,7308,19488,19488,3,直近30日間の取引データなし,2026-07-18
520,M27:ハンコック Lv.5(専属),M27: Pirate Empress Deluxe Edition I (Exclusive),銃器,Weapon,,,,,0,0,32480,0,直近30日間の取引データなし,2026-07-18
521,M27:ハンコック Lv.6(専属),M27: Pirate Empress Deluxe Edition II (Exclusive),銃器,Weapon,,,,,16240,16240,43848,1,直近30日間の取引データなし,2026-07-18
522,M27:ハンコック Lv.7(専属),M27: Empress Deluxe Edition III(Exclusive),銃器,Weapon,,,,,19488,19488,51968,4,直近30日間の取引データなし,2026-07-18
523,「HEADLINERS:星の演説者」BOX,Rainbow Sounds: Planet Speech Box,お宝 / 宝箱,Treasure / treasure chest,,,,,9094,32480,22736,2,直近30日間の取引データなし,2026-07-18
524,「HEADLINERS:センターステップ」BOX,Rainbow Sounds: Fantasy Dance Box,お宝 / 宝箱,Treasure / treasure chest,,,,,0,0,22736,0,直近30日間の取引データなし,2026-07-18
525,95式:チョッパー Lv.1(専属),QBZ-95: Chopper Pioneer Edition (Exclusive),銃器,Weapon,325,2026-07-12,3,325,325,3803,1624,82,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
526,95式:チョッパー Lv.2(専属),QBZ-95: Chopper Enjoyment Edition (Exclusive),銃器,Weapon,,,,,650,5172,3248,39,直近30日間の取引データなし,2026-07-18
527,95式:チョッパー Lv.3(専属),95式:乔巴 Aggressive Edition (Exclusive),銃器,Weapon,,,,,1379,5164,6496,2,直近30日間の取引データなし,2026-07-18
528,95式:チョッパー Lv.4(専属),QBZ-95: Chopper Flagship Edition (Exclusive),銃器,Weapon,,,,,2598,1523380,11693,24,直近30日間の取引データなし,2026-07-18
529,95式:チョッパー Lv.5(専属),QBZ-95: Chopper Deluxe Edition I(Exclusive),銃器,Weapon,,,,,4880,7677,9744,2,直近30日間の取引データなし,2026-07-18
530,95式:チョッパー Lv.6(専属),QBZ-95: Chopper Deluxe Edition II (Exclusive),銃器,Weapon,,,,,8932,21516,17864,5,直近30日間の取引データなし,2026-07-18
531,95式:チョッパー Lv.7(専属),QBZ-95: Chopper Deluxe Edition III (Exclusive),銃器,Weapon,,,,,17864,27774,32480,5,直近30日間の取引データなし,2026-07-18
532,AK14:チョッパー Lv.1(専属),AK14: Chopper Vanguard Edition (Exclusive),銃器,Weapon,192,2026-06-28,1,192,253,6545,325,51,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
533,AK14:チョッパー Lv.2(専属),AK14: Chopper Enjoy Edition (Exclusive),銃器,Weapon,1083,2026-07-11,2,866,1218,5325,1190,7,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
534,AK14:チョッパー Lv.3(専属),AK14: Chopper Advanced Edition (Exclusive),銃器,Weapon,848,2026-07-10,1,848,0,0,1299,0,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
535,AK14:チョッパー Lv.4(専属),AK14: Chopper Flagship Edition (Exclusive),銃器,Weapon,,,,,5846,5846,2598,1,直近30日間の取引データなし,2026-07-18
536,AK14:チョッパー Lv.5(専属),AK14: Chopper Deluxe Edition I (Exclusive),銃器,Weapon,,,,,0,0,5197,0,直近30日間の取引データなし,2026-07-18
537,AK14:チョッパー Lv.6(専属),AK14: Chopper Deluxe Edition II (Exclusive),銃器,Weapon,,,,,23753,23753,10394,1,直近30日間の取引データなし,2026-07-18
538,AK14:チョッパー Lv.7(専属),AK14: Chopper Deluxe Edition III (Exclusive),銃器,Weapon,,,,,0,0,20787,0,直近30日間の取引データなし,2026-07-18
539,SK12:チョッパー Lv.1(専属),SK12: Chopper Vanguard Edition (Exclusive),不明（カテゴリタグなし）,,193,2026-07-17,8,183,408,1623838,812,333,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
540,SK12:チョッパー Lv.2(専属),SK12: Chopper Deluxe Edition (Exclusive),不明（カテゴリタグなし）,,325,2026-07-12,1,325,778,35501,1624,39,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
541,SK12:チョッパー Lv.3(専属),SK12: Chopper Deluxe Edition (Exclusive),不明（カテゴリタグなし）,,650,2026-07-15,1,650,2313,3238,3248,2,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
542,SK12:チョッパー Lv.4(専属),SK12: Chopper Flagship Edition (Exclusive),不明（カテゴリタグなし）,,,,,,5044,6496,6496,2,直近30日間の取引データなし,2026-07-18
543,SK12:チョッパー Lv.5(専属),SK12: Chopper Deluxe Edition I (Exclusive),不明（カテゴリタグなし）,,,,,,0,0,10394,0,直近30日間の取引データなし,2026-07-18
544,SK12:チョッパー Lv.6(専属),SK12: Chopper Deluxe Edition II (Exclusive),不明（カテゴリタグなし）,,,,,,4851,4851,14616,1,直近30日間の取引データなし,2026-07-18
545,SK12:チョッパー Lv.7(専属),SK12: Chopper Deluxe Edition III (Exclusive),不明（カテゴリタグなし）,,,,,,0,0,17864,0,直近30日間の取引データなし,2026-07-18
546,UZI:チョッパー Lv.1(専属),UZI: Chopper Pioneer Edition (Exclusive),不明（カテゴリタグなし）,,193,2026-07-17,4,178,508,88261,812,59,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
547,UZI:チョッパー Lv.2(専属),UZI: Chopper Premium Edition (Exclusive),不明（カテゴリタグなし）,,594,2026-07-11,1,594,844,5398,1624,9,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
548,UZI:チョッパー Lv.3(専属),UZI: Tony Tony Chopper Enterprising Edition (Exclusive),不明（カテゴリタグなし）,,,,,,4872,4872,3248,1,直近30日間の取引データなし,2026-07-18
549,UZI:チョッパー Lv.4(専属),UZI: Tony Tony Chopper Flagship Edition (Exclusive),不明（カテゴリタグなし）,,,,,,0,0,6496,0,直近30日間の取引データなし,2026-07-18
550,UZI:チョッパー Lv.5(専属),UZI: Chopper Deluxe Edition I (Exclusive),不明（カテゴリタグなし）,,,,,,0,0,10394,0,直近30日間の取引データなし,2026-07-18
551,UZI:チョッパー Lv.6(専属),UZI: Chopper Deluxe Edition II (Exclusive),不明（カテゴリタグなし）,,,,,,0,0,14616,0,直近30日間の取引データなし,2026-07-18
552,UZI:チョッパー Lv.7(専属),UZI: Chopper Deluxe Edition III(Exclusive),不明（カテゴリタグなし）,,,,,,0,0,17864,0,直近30日間の取引データなし,2026-07-18
553,AUG:ハンコック Lv.1(専属),AUG: Pirate Empress Pioneer Edition (Exclusive),銃器,Weapon,,,,,1643,3178,2923,7,直近30日間の取引データなし,2026-07-18
554,AUG:ハンコック Lv.2(専属),AUG: Pirate Empress Enjoy Version (Exclusive),銃器,Weapon,,,,,2111,2111,5197,1,直近30日間の取引データなし,2026-07-18
555,AUG:ハンコック Lv.3(専属),AUG: Pirate Empress Advanced Edition (Exclusive),銃器,Weapon,,,,,4060,5315,10069,2,直近30日間の取引データなし,2026-07-18
556,AUG:ハンコック Lv.4(専属),AUG: Pirate Empress Flagship Edition (Exclusive),銃器,Weapon,,,,,7308,7308,19488,1,直近30日間の取引データなし,2026-07-18
557,AUG:ハンコック Lv.5(専属),AUG: Pirate Empress Deluxe Edition I (Exclusive),銃器,Weapon,,,,,0,0,32480,0,直近30日間の取引データなし,2026-07-18
558,AUG:ハンコック Lv.6(専属),AUG: Pirate Empress Deluxe Edition II (Exclusive),銃器,Weapon,,,,,18450,18450,43848,1,直近30日間の取引データなし,2026-07-18
559,AUG:ハンコック Lv.7(専属),AUG: Pirate Empress Deluxe Edition III (Exclusive),銃器,Weapon,,,,,0,0,51968,0,直近30日間の取引データなし,2026-07-18
560,81式:ハンコック Lv.1(専属),81式: Pirate Empress Vanguard Edition (Exclusive),銃器,Weapon,,,,,1137,2761,2923,17,直近30日間の取引データなし,2026-07-18
561,81式:ハンコック Lv.2(専属),Type 81: Pirate Empress Enjoyment Edition (Exclusive),銃器,Weapon,,,,,0,0,5197,0,直近30日間の取引データなし,2026-07-18
562,81式:ハンコック Lv.3(専属),Type 81: Pirate Empress Advanced Edition (Exclusive),銃器,Weapon,,,,,0,0,10069,0,直近30日間の取引データなし,2026-07-18
563,81式:ハンコック Lv.4(専属),Type 81: Pirate Empress Flagship Edition (Exclusive),銃器,Weapon,,,,,7308,7308,19488,3,直近30日間の取引データなし,2026-07-18
564,81式:ハンコック Lv.5(専属),Type 81: Pirate Empress Deluxe Edition I (Exclusive),銃器,Weapon,,,,,0,0,32480,0,直近30日間の取引データなし,2026-07-18
565,81式:ハンコック Lv.6(専属),Type 81: Pirate Empress Deluxe Edition II (Exclusive),銃器,Weapon,,,,,0,0,43848,0,直近30日間の取引データなし,2026-07-18
566,81式:ハンコック Lv.7(専属),81式: Pirate Empress Deluxe Edition III(Exclusive),銃器,Weapon,,,,,0,0,51968,0,直近30日間の取引データなし,2026-07-18
576,輸送機:クロノエージェント,Fighter Plane: Epochal Energy,乗り物 / 輸送機,Vehicle / Transport Aircraft,,,,,75662,75662,81200,1,直近30日間の取引データなし,2026-07-18
577,輸送機:クロノエージェント 精錬Ⅰ,Fighter Plane: Epochal Energy Phantasm I,乗り物 / 輸送機,Vehicle / Transport Aircraft,89320,2026-07-07,1,89320,89320,99704,113680,11,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
578,輸送機:クロノエージェント 精錬Ⅱ,Fighter Plane: Epochal Energy Phantasm II,乗り物 / 輸送機,Vehicle / Transport Aircraft,,,,,113680,113680,146160,12,直近30日間の取引データなし,2026-07-18
579,輸送機:クロノエージェント 精錬Ⅲ,Fighter Plane: Epochal Energy Phantasm III,乗り物 / 輸送機,Vehicle / Transport Aircraft,129920,2026-07-12,1,129920,129920,129920,162400,1,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
580,輸送機:クロノエージェント 精錬Ⅳ,Fighter Plane: Epochal Energy Phantasm IV,乗り物 / 輸送機,Vehicle / Transport Aircraft,162400,2026-07-16,1,162400,162400,162400,194880,2,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
581,輸送機:クロノエージェント 精錬Ⅴ,Fighter Plane: Epochal Energy Phantasm V,乗り物 / 輸送機,Vehicle / Transport Aircraft,,,,,219240,292320,259840,8,直近30日間の取引データなし,2026-07-18
582,AK-47:ゾロ Lv.1(専属),AK47: Zoro Vanguard Edition (Exclusive),銃器,Weapon,,,,,2111,2327,2274,4,直近30日間の取引データなし,2026-07-18
583,AK-47:ゾロ Lv.2(専属),AK47: Zoro Enjoy Edition (Exclusive),銃器,Weapon,,,,,3894,6006,4060,2,直近30日間の取引データなし,2026-07-18
584,AK-47:ゾロ Lv.3(専属),AK47: Zoro Deluxe Edition (Exclusive),銃器,Weapon,,,,,0,0,8120,0,直近30日間の取引データなし,2026-07-18
585,AK-47:ゾロ Lv.4(専属),AK47: Zoro Flagship Edition (Exclusive),銃器,Weapon,,,,,7308,14616,14616,4,直近30日間の取引データなし,2026-07-18
586,AK-47:ゾロ Lv.5(専属),AK47: Zoro Deluxe Edition I(Exclusive),銃器,Weapon,,,,,0,0,23386,0,直近30日間の取引データなし,2026-07-18
587,AK-47:ゾロ Lv.6(専属),MK5:総長の威光,銃器,Weapon,,,,,16240,19527,32480,3,直近30日間の取引データなし,2026-07-18
588,AK-47:ゾロ Lv.7(専属),AK47: Zoro Deluxe Edition III (Exclusive),銃器,Weapon,,,,,19488,32480003,38976,8,直近30日間の取引データなし,2026-07-18
589,AUG:ゾロ Lv.1(専属),AUG: Zoro Vanguard Edition (Exclusive),銃器,Weapon,,,,,2241,2241,2274,1,直近30日間の取引データなし,2026-07-18
590,AUG:ゾロ Lv.2(専属),AUG: Zoro Enjoy Edition (Exclusive),銃器,Weapon,,,,,2296,5832,4060,5,直近30日間の取引データなし,2026-07-18
591,AUG:ゾロ Lv.3(専属),AUG: Zoro Initiative Edition (Exclusive),銃器,Weapon,,,,,6632,6632,8120,2,直近30日間の取引データなし,2026-07-18
592,AUG:ゾロ Lv.4(専属),AUG: Zoro Flagship Edition (Exclusive),銃器,Weapon,,,,,7308,12201,14616,6,直近30日間の取引データなし,2026-07-18
593,AUG:ゾロ Lv.5(専属),AUG: Zoro Deluxe Edition I (Exclusive),銃器,Weapon,,,,,0,0,23386,0,直近30日間の取引データなし,2026-07-18
594,AUG:ゾロ Lv.6(専属),AUG: Zoro Deluxe Edition II (Exclusive),銃器,Weapon,,,,,0,0,32480,0,直近30日間の取引データなし,2026-07-18
595,M4A1:ゾロ Lv.1(専属),M4A1: Zoro Vanguard Edition (Exclusive),銃器,Weapon,,,,,0,0,3248,0,直近30日間の取引データなし,2026-07-18
596,M4A1:ゾロ Lv.2(専属),M4A1: Zoro Grandeur Enjoy Edition (Exclusive),銃器,Weapon,5091,2026-06-20,2,4170,3248,3248,6496,1,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
597,M4A1:ゾロ Lv.3(専属),M4A1: Zoro Advance Edition (Exclusive),銃器,Weapon,,,,,6496,6496,12992,2,直近30日間の取引データなし,2026-07-18
598,M4A1:ゾロ Lv.4(専属),M4A1: Zoro Flagship Edition (Exclusive),銃器,Weapon,,,,,9744,16329,19488,10,直近30日間の取引データなし,2026-07-18
599,M4A1:ゾロ Lv.5(専属),M4A1: Zoro Deluxe Edition I (Exclusive),銃器,Weapon,,,,,0,0,29232,0,直近30日間の取引データなし,2026-07-18
600,M4A1:ゾロ Lv.6(専属),M4A1: Zoro Deluxe Edition II (Exclusive),銃器,Weapon,,,,,21924,21924,48720,1,直近30日間の取引データなし,2026-07-18
601,M4A1:ゾロ Lv.7(専属),M4A1: Zoro Deluxe Edition III (Exclusive),銃器,Weapon,29232,2026-06-29,1,29232,29232,29232,73080,9,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
602,AUG:ゾロ Lv.7(専属),AUG: Zoro Deluxe Edition III(Exclusive),銃器,Weapon,,,,,19488,19488,38976,2,直近30日間の取引データなし,2026-07-18
604,M4A1:進撃の巨人 豪華旗艦版+(専属),M4A1: Power Reverence Deluxe Flagship Edition+ (Exclusive),銃器,Weapon,6496,2026-07-16,14,6496,6496,13085,12992,10,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-18
