goods_id,商品名,商品名_原文,ジャンル,ジャンル_原文,直近成約価格_円,直近成約日,直近30日間の成約数_近似,直近30日間の平均成約価格_円,現在出品最安値_円,現在出品最高値_円,現在出品参考価格_円,現在出品数,備考,取得日
65,星宿:メカストームボックス,Starway: Mechanical Storm Box,お宝 / 宝箱,Treasure / treasure chest,,,,,24528,40539,22702,3,直近30日間の取引データなし,2026-07-16
66,星宿:ゴールドブレードボックス,Starway: Knife of the Golden Hall Box,お宝 / 宝箱,Treasure / treasure chest,,,,,96351,96351,22702,1,直近30日間の取引データなし,2026-07-16
67,「不思議な庭園」愛蔵版限定BOX,[Mysterious Garden] Collection Box,お宝 / 宝箱,Treasure / treasure chest,,,,,1621555,1621555,16216,1,直近30日間の取引データなし,2026-07-16
68,「Pearl Daydream」限定BOX,Time Garden Day Box,お宝 / 宝箱,Treasure / treasure chest,,,,,35150,65691,5513,3,直近30日間の取引データなし,2026-07-16
69,「Midnight Galaxy」限定BOX,Time Garden Midnight Box,お宝 / 宝箱,Treasure / treasure chest,,,,,14716,65691,5513,6,直近30日間の取引データなし,2026-07-16
80,M27:天下無双 先鋒版(専属),M27: Second to None Vanguard Edition (Exclusive),銃器,Weapon,,,,,811,1621555,1622,546,直近30日間の取引データなし,2026-07-16
81,M27:天下無双 豪華版(専属),M27: Second to None Enjoy Edition (Exclusive),銃器,Weapon,,,,,1622,233519,3243,114,直近30日間の取引データなし,2026-07-16
82,M27:天下無双 進化版(専属),M27: Second to None Advanced Edition (Exclusive),銃器,Weapon,,,,,3243,275664,6486,17,直近30日間の取引データなし,2026-07-16
83,M27:天下無双 旗艦版(専属),M27: Second to None Flagship Edition (Exclusive),銃器,Weapon,,,,,5838,22702,11675,22,直近30日間の取引データなし,2026-07-16
84,M27:天下無双 豪華版Ⅰ(専属),M27: Second to None Deluxe Edition I (Exclusive),銃器,Weapon,,,,,11351,37896,22702,12,直近30日間の取引データなし,2026-07-16
85,M27:天下無双 豪華版Ⅱ(専属),M27: Second to None Deluxe Edition II (Exclusive),銃器,Weapon,,,,,21891,143135,43782,2,直近30日間の取引データなし,2026-07-16
86,M27:天下無双 豪華版Ⅲ(専属),M27: Second to None Deluxe Edition III (Exclusive),銃器,Weapon,40539,2026-06-25,2,40539,40539,329721,81078,21,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
164,"HUNTER×HUNTER
トレーディングコラボガチャBOX",Hunter × Hunter collaboration Event Tradeable Lucky Draw,お宝 / 宝箱,Treasure / treasure chest,2666,2026-06-23,3,2262,2523,16216,324,40,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
429,トレーディングコラボガチャ:Fate/stay night [Heaven's Feel],Tradable Lucky Draw: Fate/Stay Night [Heaven's Feel],お宝 / 宝箱,Treasure / treasure chest,1852,2026-07-02,3,1745,1455,16216,324,29,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
430,AK-47:リヴァイ 進化版(専属),AK47: Strongest Human Enjoy Edition (Exclusive),銃器,Weapon,,,,,1453,8108,2594,28,直近30日間の取引データなし,2026-07-16
431,M4A1:進撃の巨人 先鋒版(専属),M4A1: Power Reverence Vanguard Edition (Exclusive),銃器,Weapon,970,2026-07-15,10,1138,1252,1617248,1622,322,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
432,M4A1:進撃の巨人 旗艦版(専属),M4A1: Power Reverence Flagship Edition (Exclusive),銃器,Weapon,1622,2026-07-16,28,1712,1622,1621555,3243,87,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
433,M4A1:進撃の巨人 豪華旗艦版(専属),M4A1: Power Reverence Deluxe Flagship Edition (Exclusive),銃器,Weapon,3243,2026-07-15,18,3243,3243,17471,6486,58,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
434,AK-47:リヴァイ 先鋒版(専属),AK47: Strongest Human Vanguard Edition (Exclusive),銃器,Weapon,,,,,649,1621555,1297,380,直近30日間の取引データなし,2026-07-16
435,AK-47:リヴァイ 旗艦版(専属),AK47: Strongest Human Flagship Edition (Exclusive),銃器,Weapon,2432,2026-07-12,8,2432,2432,1587504,4865,51,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
436,M16A4:自由の翼 先鋒版(専属),M16A4: Liberty Wind Vanguard Edition (Exclusive),銃器,Weapon,1268,2026-07-11,5,1143,1506,648622,1622,194,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
437,M16A4:自由の翼 進化版(専属),M16A4: Liberty Wind Enjoy Edition (Exclusive),銃器,Weapon,2353,2026-07-14,10,2160,2421,13136,3243,27,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
438,M16A4:自由の翼 旗艦版(専属),M16A4: Liberty Wind Flagship Edition (Exclusive),銃器,Weapon,3778,2026-07-15,51,3405,3394,21675,6486,72,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
443,M27:ドラゴンフォース 旗艦版(専属),M27: Dragon Force Flagship Edition (exclusive),銃器,Weapon,6486,2026-07-16,21,6486,6486,31343,12972,102,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
444,P90:ドラゴンフォース 先鋒版(専属),P90: Dragon Force Vanguard Edition (Exclusive),不明（カテゴリタグなし）,,812,2026-07-13,1,812,950,6439,1622,51,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
445,P90:ドラゴンフォース 豪華版(専属),P90: Dragon Force Enjoy Edition (Exclusive),不明（カテゴリタグなし）,,1622,2026-06-24,1,1622,1622,4261,3243,17,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
446,P90:ドラゴンフォース 旗艦版(専属),P90: Dragon Force Flagship Edition (exclusive),不明（カテゴリタグなし）,,3243,2026-07-13,9,3458,3243,324311,6486,10,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
447,SACR-L:ドラゴンフォース 先鋒版(専属),SACR-L: Dragon Force Vanguard Edition (Exclusive),銃器,Weapon,1622,2026-07-13,5,2478,1623,148449,3243,49,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
448,SACR-L:ドラゴンフォース 豪華版(専属),SACR-L: Dragon Force Enjoy Edition (Exclusive),銃器,Weapon,3243,2026-07-02,2,3832,7597,17839,6486,11,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
449,SACR-L:ドラゴンフォース 旗艦版(専属),SACR-L: Dragon Force Flagship Edition (Exclusive),銃器,Weapon,6486,2026-07-16,28,6609,6486,15513,12972,11,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
450,CS LR4:ドラゴンフォース 先鋒版(専属),CS/LR-4: Dragon Force Vanguard Edition (Exclusive),不明（カテゴリタグなし）,,1939,2026-07-16,4,3001,3811,6280,2617,7,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
451,CS LR4:ドラゴンフォース 豪華版(専属),CS/LR-4: Dragon Force Enjoy Edition (Exclusive),不明（カテゴリタグなし）,,6402,2026-07-13,6,5367,6486,9113,6094,7,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
452,CS LR4:ドラゴンフォース 旗艦版(専属),CS/LR-4: Dragon Force Flagship Edition (exclusive),不明（カテゴリタグなし）,,10589,2026-07-16,40,9669,9707,10683,10808,3,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
453,M27:ドラゴンフォース 先鋒版(専属),M27: Dragon Force Vanguard Edition (Exclusive),銃器,Weapon,,,,,1622,8940,3243,41,直近30日間の取引データなし,2026-07-16
454,M27:ドラゴンフォース 豪華版(専属),M27: Dragon Force Enjoy Edition (Exclusive),銃器,Weapon,3243,2026-07-07,2,3243,3243,12972,6486,9,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
466,HK50:炎炎ノ消防隊 先鋒版(専属),HK50: Blaze Firefighters Vanguard Edition (Exclusive),銃器,Weapon,490,2026-06-28,1,490,795,6022,811,26,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
467,HK50:炎炎ノ消防隊 豪華版(専属),HK50: Blaze Firefighters Enjoy Edition (Exclusive),銃器,Weapon,971,2026-06-27,1,971,1052,2685,1622,8,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
468,HK50:炎炎ノ消防隊 旗艦版(専属),HK50: Blaze Firefighters Flagship Edition (Exclusive),銃器,Weapon,1758,2026-07-06,4,1510,3243,4865,3243,2,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
469,M860:ハーレイ･クイン 先鋒版(専属),M860: Harley Quinn Vanguard Edition (Exclusive),不明（カテゴリタグなし）,,,,,,1943,4252,1784,9,直近30日間の取引データなし,2026-07-16
470,M860:ハーレイ･クイン 豪華版(専属),M860: Harley Quinn Enjoy Edition (Exclusive),不明（カテゴリタグなし）,,2919,2026-06-29,1,2919,4472,4474,1622,2,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
471,M860:ハーレイ･クイン 旗艦版(専属),M860: Harley Quinn Flagship Edition (Exclusive),不明（カテゴリタグなし）,,,,,,6486,7297,3243,6,直近30日間の取引データなし,2026-07-16
472,AUG:ハーレイ･クイン 先鋒版(専属),AUG: Harley Quinn Vanguard Edition (Exclusive),銃器,Weapon,691,2026-07-09,3,430,679,4944,811,23,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
473,AUG:ハーレイ･クイン 豪華版(専属),AUG: Harley Quinn Enjoy Edition (Exclusive),銃器,Weapon,,,,,1849,11580,1622,14,直近30日間の取引データなし,2026-07-16
474,AUG:ハーレイ･クイン 旗艦版(専属),AUG: Harley Quinn Flagship Edition (exclusive),銃器,Weapon,3543,2026-07-07,1,3543,4865,31366,3243,2,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
476,初号機95式 Ⅲ型(専属),QBZ-95: Unit-01 Type III (Exclusive),銃器,Weapon,10185,2026-07-14,13,9027,12107,12107,10248,1,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
477,初号機95式 覚醒型(専属),QBZ-95: Unit-01 Awakening(Exclusive),銃器,Weapon,13718,2026-07-16,53,13654,15097,31406,15945,15,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
478,初号機95式 Ⅱ型(専属),QBZ-95: Unit-01 Type II (Exclusive),銃器,Weapon,3781,2026-07-15,38,4490,5525,10586,5017,6,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
479,初号機95式 Ⅰ型(専属),QBZ-95: Unit-01 Type I (Exclusive),銃器,Weapon,4847,2026-07-16,18,3466,4853,11594,4728,17,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
516,M27:ハンコック Lv.1(専属),M27: Pirate Empress Vanguard Edition (Exclusive),銃器,Weapon,,,,,1140,2919,2919,7,直近30日間の取引データなし,2026-07-16
517,M27:ハンコック Lv.2(専属),M27: Pirate Empress Enjoy Edition (Exclusive),銃器,Weapon,,,,,3550,3550,5189,1,直近30日間の取引データなし,2026-07-16
518,M27:ハンコック Lv.3(専属),M27: Pirate Empress Advanced Edition (Exclusive),銃器,Weapon,,,,,0,0,10054,0,直近30日間の取引データなし,2026-07-16
519,M27:ハンコック Lv.4(専属),M27: Pirate Empress Flagship Edition (Exclusive),銃器,Weapon,,,,,7297,19459,19459,3,直近30日間の取引データなし,2026-07-16
520,M27:ハンコック Lv.5(専属),M27: Pirate Empress Deluxe Edition I (Exclusive),銃器,Weapon,,,,,0,0,32431,0,直近30日間の取引データなし,2026-07-16
521,M27:ハンコック Lv.6(専属),M27: Pirate Empress Deluxe Edition II (Exclusive),銃器,Weapon,,,,,16216,16216,43782,1,直近30日間の取引データなし,2026-07-16
522,M27:ハンコック Lv.7(専属),M27: Empress Deluxe Edition III(Exclusive),銃器,Weapon,,,,,19459,19459,51890,4,直近30日間の取引データなし,2026-07-16
523,「HEADLINERS:星の演説者」BOX,Rainbow Sounds: Planet Speech Box,お宝 / 宝箱,Treasure / treasure chest,,,,,9081,32431,22702,2,直近30日間の取引データなし,2026-07-16
524,「HEADLINERS:センターステップ」BOX,Rainbow Sounds: Fantasy Dance Box,お宝 / 宝箱,Treasure / treasure chest,,,,,0,0,22702,0,直近30日間の取引データなし,2026-07-16
525,95式:チョッパー Lv.1(専属),QBZ-95: Chopper Pioneer Edition (Exclusive),銃器,Weapon,324,2026-07-12,3,324,324,3798,1622,82,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
526,95式:チョッパー Lv.2(専属),QBZ-95: Chopper Enjoyment Edition (Exclusive),銃器,Weapon,,,,,649,5165,3243,39,直近30日間の取引データなし,2026-07-16
527,95式:チョッパー Lv.3(専属),95式:乔巴 Aggressive Edition (Exclusive),銃器,Weapon,,,,,1377,5157,6486,2,直近30日間の取引データなし,2026-07-16
528,95式:チョッパー Lv.4(専属),QBZ-95: Chopper Flagship Edition (Exclusive),銃器,Weapon,,,,,2594,1521087,11675,24,直近30日間の取引データなし,2026-07-16
529,95式:チョッパー Lv.5(専属),QBZ-95: Chopper Deluxe Edition I(Exclusive),銃器,Weapon,,,,,4873,7665,9729,2,直近30日間の取引データなし,2026-07-16
530,95式:チョッパー Lv.6(専属),QBZ-95: Chopper Deluxe Edition II (Exclusive),銃器,Weapon,,,,,8919,21484,17837,5,直近30日間の取引データなし,2026-07-16
531,95式:チョッパー Lv.7(専属),QBZ-95: Chopper Deluxe Edition III (Exclusive),銃器,Weapon,,,,,17837,27732,32431,5,直近30日間の取引データなし,2026-07-16
532,AK14:チョッパー Lv.1(専属),AK14: Chopper Vanguard Edition (Exclusive),銃器,Weapon,191,2026-06-28,1,191,253,6535,324,50,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
533,AK14:チョッパー Lv.2(専属),AK14: Chopper Enjoy Edition (Exclusive),銃器,Weapon,1082,2026-07-11,2,865,1216,5317,950,7,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
534,AK14:チョッパー Lv.3(専属),AK14: Chopper Advanced Edition (Exclusive),銃器,Weapon,846,2026-07-10,1,846,0,0,1297,0,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
535,AK14:チョッパー Lv.4(専属),AK14: Chopper Flagship Edition (Exclusive),銃器,Weapon,,,,,5838,5838,2594,1,直近30日間の取引データなし,2026-07-16
536,AK14:チョッパー Lv.5(専属),AK14: Chopper Deluxe Edition I (Exclusive),銃器,Weapon,,,,,0,0,5189,0,直近30日間の取引データなし,2026-07-16
537,AK14:チョッパー Lv.6(専属),AK14: Chopper Deluxe Edition II (Exclusive),銃器,Weapon,,,,,23717,23717,10378,1,直近30日間の取引データなし,2026-07-16
538,AK14:チョッパー Lv.7(専属),AK14: Chopper Deluxe Edition III (Exclusive),銃器,Weapon,,,,,0,0,20756,0,直近30日間の取引データなし,2026-07-16
539,SK12:チョッパー Lv.1(専属),SK12: Chopper Vanguard Edition (Exclusive),不明（カテゴリタグなし）,,162,2026-07-16,7,200,162,1621393,811,335,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
540,SK12:チョッパー Lv.2(専属),SK12: Chopper Deluxe Edition (Exclusive),不明（カテゴリタグなし）,,324,2026-07-12,1,324,777,35447,1622,39,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
541,SK12:チョッパー Lv.3(専属),SK12: Chopper Deluxe Edition (Exclusive),不明（カテゴリタグなし）,,649,2026-07-15,1,649,2309,3233,3243,2,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
542,SK12:チョッパー Lv.4(専属),SK12: Chopper Flagship Edition (Exclusive),不明（カテゴリタグなし）,,,,,,5037,6486,6486,2,直近30日間の取引データなし,2026-07-16
543,SK12:チョッパー Lv.5(専属),SK12: Chopper Deluxe Edition I (Exclusive),不明（カテゴリタグなし）,,,,,,0,0,10378,0,直近30日間の取引データなし,2026-07-16
544,SK12:チョッパー Lv.6(専属),SK12: Chopper Deluxe Edition II (Exclusive),不明（カテゴリタグなし）,,,,,,0,0,14594,0,直近30日間の取引データなし,2026-07-16
545,SK12:チョッパー Lv.7(専属),SK12: Chopper Deluxe Edition III (Exclusive),不明（カテゴリタグなし）,,,,,,0,0,17837,0,直近30日間の取引データなし,2026-07-16
546,UZI:チョッパー Lv.1(専属),UZI: Chopper Pioneer Edition (Exclusive),不明（カテゴリタグなし）,,162,2026-07-06,2,162,195,88128,811,60,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
547,UZI:チョッパー Lv.2(専属),UZI: Chopper Premium Edition (Exclusive),不明（カテゴリタグなし）,,593,2026-07-11,1,593,843,5390,1622,9,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
548,UZI:チョッパー Lv.3(専属),UZI: Tony Tony Chopper Enterprising Edition (Exclusive),不明（カテゴリタグなし）,,,,,,4865,4865,3243,1,直近30日間の取引データなし,2026-07-16
549,UZI:チョッパー Lv.4(専属),UZI: Tony Tony Chopper Flagship Edition (Exclusive),不明（カテゴリタグなし）,,,,,,0,0,6486,0,直近30日間の取引データなし,2026-07-16
550,UZI:チョッパー Lv.5(専属),UZI: Chopper Deluxe Edition I (Exclusive),不明（カテゴリタグなし）,,,,,,0,0,10378,0,直近30日間の取引データなし,2026-07-16
551,UZI:チョッパー Lv.6(専属),UZI: Chopper Deluxe Edition II (Exclusive),不明（カテゴリタグなし）,,,,,,0,0,14594,0,直近30日間の取引データなし,2026-07-16
552,UZI:チョッパー Lv.7(専属),UZI: Chopper Deluxe Edition III(Exclusive),不明（カテゴリタグなし）,,,,,,0,0,17837,0,直近30日間の取引データなし,2026-07-16
553,AUG:ハンコック Lv.1(専属),AUG: Pirate Empress Pioneer Edition (Exclusive),銃器,Weapon,,,,,1641,3173,2919,7,直近30日間の取引データなし,2026-07-16
554,AUG:ハンコック Lv.2(専属),AUG: Pirate Empress Enjoy Version (Exclusive),銃器,Weapon,,,,,2108,2108,5189,1,直近30日間の取引データなし,2026-07-16
555,AUG:ハンコック Lv.3(専属),AUG: Pirate Empress Advanced Edition (Exclusive),銃器,Weapon,,,,,4054,5307,10054,2,直近30日間の取引データなし,2026-07-16
556,AUG:ハンコック Lv.4(専属),AUG: Pirate Empress Flagship Edition (Exclusive),銃器,Weapon,,,,,7297,7297,19459,1,直近30日間の取引データなし,2026-07-16
557,AUG:ハンコック Lv.5(専属),AUG: Pirate Empress Deluxe Edition I (Exclusive),銃器,Weapon,,,,,0,0,32431,0,直近30日間の取引データなし,2026-07-16
558,AUG:ハンコック Lv.6(専属),AUG: Pirate Empress Deluxe Edition II (Exclusive),銃器,Weapon,,,,,18422,18422,43782,1,直近30日間の取引データなし,2026-07-16
559,AUG:ハンコック Lv.7(専属),AUG: Pirate Empress Deluxe Edition III (Exclusive),銃器,Weapon,,,,,0,0,51890,0,直近30日間の取引データなし,2026-07-16
560,81式:ハンコック Lv.1(専属),81式: Pirate Empress Vanguard Edition (Exclusive),銃器,Weapon,,,,,1135,2757,2919,17,直近30日間の取引データなし,2026-07-16
561,81式:ハンコック Lv.2(専属),Type 81: Pirate Empress Enjoyment Edition (Exclusive),銃器,Weapon,,,,,0,0,5189,0,直近30日間の取引データなし,2026-07-16
562,81式:ハンコック Lv.3(専属),Type 81: Pirate Empress Advanced Edition (Exclusive),銃器,Weapon,,,,,0,0,10054,0,直近30日間の取引データなし,2026-07-16
563,81式:ハンコック Lv.4(専属),Type 81: Pirate Empress Flagship Edition (Exclusive),銃器,Weapon,,,,,7297,7297,19459,3,直近30日間の取引データなし,2026-07-16
564,81式:ハンコック Lv.5(専属),Type 81: Pirate Empress Deluxe Edition I (Exclusive),銃器,Weapon,,,,,0,0,32431,0,直近30日間の取引データなし,2026-07-16
565,81式:ハンコック Lv.6(専属),Type 81: Pirate Empress Deluxe Edition II (Exclusive),銃器,Weapon,,,,,0,0,43782,0,直近30日間の取引データなし,2026-07-16
566,81式:ハンコック Lv.7(専属),81式: Pirate Empress Deluxe Edition III(Exclusive),銃器,Weapon,,,,,0,0,51890,0,直近30日間の取引データなし,2026-07-16
576,輸送機:クロノエージェント,Fighter Plane: Epochal Energy,乗り物 / 輸送機,Vehicle / Transport Aircraft,,,,,75548,75548,81078,1,直近30日間の取引データなし,2026-07-16
577,輸送機:クロノエージェント 精錬Ⅰ,Fighter Plane: Epochal Energy Phantasm I,乗り物 / 輸送機,Vehicle / Transport Aircraft,89186,2026-07-07,1,89186,89186,99554,113509,11,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
578,輸送機:クロノエージェント 精錬Ⅱ,Fighter Plane: Epochal Energy Phantasm II,乗り物 / 輸送機,Vehicle / Transport Aircraft,,,,,113509,113509,145940,12,直近30日間の取引データなし,2026-07-16
579,輸送機:クロノエージェント 精錬Ⅲ,Fighter Plane: Epochal Energy Phantasm III,乗り物 / 輸送機,Vehicle / Transport Aircraft,129724,2026-07-12,1,129724,129724,129724,162156,1,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
580,輸送機:クロノエージェント 精錬Ⅳ,Fighter Plane: Epochal Energy Phantasm IV,乗り物 / 輸送機,Vehicle / Transport Aircraft,162156,2026-07-16,1,162156,162156,162156,194587,2,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
581,輸送機:クロノエージェント 精錬Ⅴ,Fighter Plane: Epochal Energy Phantasm V,乗り物 / 輸送機,Vehicle / Transport Aircraft,,,,,218910,291880,259449,8,直近30日間の取引データなし,2026-07-16
582,AK-47:ゾロ Lv.1(専属),AK47: Zoro Vanguard Edition (Exclusive),銃器,Weapon,,,,,2108,2324,2270,4,直近30日間の取引データなし,2026-07-16
583,AK-47:ゾロ Lv.2(専属),AK47: Zoro Enjoy Edition (Exclusive),銃器,Weapon,,,,,3888,5997,4054,2,直近30日間の取引データなし,2026-07-16
584,AK-47:ゾロ Lv.3(専属),AK47: Zoro Deluxe Edition (Exclusive),銃器,Weapon,,,,,0,0,8108,0,直近30日間の取引データなし,2026-07-16
585,AK-47:ゾロ Lv.4(専属),AK47: Zoro Flagship Edition (Exclusive),銃器,Weapon,,,,,7297,14594,14594,4,直近30日間の取引データなし,2026-07-16
586,AK-47:ゾロ Lv.5(専属),AK47: Zoro Deluxe Edition I(Exclusive),銃器,Weapon,,,,,0,0,23350,0,直近30日間の取引データなし,2026-07-16
587,AK-47:ゾロ Lv.6(専属),MK5:総長の威光,銃器,Weapon,,,,,16216,19498,32431,3,直近30日間の取引データなし,2026-07-16
588,AK-47:ゾロ Lv.7(専属),AK47: Zoro Deluxe Edition III (Exclusive),銃器,Weapon,,,,,19459,32431103,38917,8,直近30日間の取引データなし,2026-07-16
589,AUG:ゾロ Lv.1(専属),AUG: Zoro Vanguard Edition (Exclusive),銃器,Weapon,,,,,2238,2238,2270,1,直近30日間の取引データなし,2026-07-16
590,AUG:ゾロ Lv.2(専属),AUG: Zoro Enjoy Edition (Exclusive),銃器,Weapon,,,,,2293,5823,4054,5,直近30日間の取引データなし,2026-07-16
591,AUG:ゾロ Lv.3(専属),AUG: Zoro Initiative Edition (Exclusive),銃器,Weapon,,,,,6622,6622,8108,2,直近30日間の取引データなし,2026-07-16
592,AUG:ゾロ Lv.4(専属),AUG: Zoro Flagship Edition (Exclusive),銃器,Weapon,,,,,7297,12183,14594,6,直近30日間の取引データなし,2026-07-16
593,AUG:ゾロ Lv.5(専属),AUG: Zoro Deluxe Edition I (Exclusive),銃器,Weapon,,,,,0,0,23350,0,直近30日間の取引データなし,2026-07-16
594,AUG:ゾロ Lv.6(専属),AUG: Zoro Deluxe Edition II (Exclusive),銃器,Weapon,,,,,0,0,32431,0,直近30日間の取引データなし,2026-07-16
595,M4A1:ゾロ Lv.1(専属),M4A1: Zoro Vanguard Edition (Exclusive),銃器,Weapon,,,,,0,0,3243,0,直近30日間の取引データなし,2026-07-16
596,M4A1:ゾロ Lv.2(専属),M4A1: Zoro Grandeur Enjoy Edition (Exclusive),銃器,Weapon,5084,2026-06-20,2,4163,3243,3243,6486,1,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
597,M4A1:ゾロ Lv.3(専属),M4A1: Zoro Advance Edition (Exclusive),銃器,Weapon,,,,,6486,6486,12972,2,直近30日間の取引データなし,2026-07-16
598,M4A1:ゾロ Lv.4(専属),M4A1: Zoro Flagship Edition (Exclusive),銃器,Weapon,,,,,9729,16305,19459,10,直近30日間の取引データなし,2026-07-16
599,M4A1:ゾロ Lv.5(専属),M4A1: Zoro Deluxe Edition I (Exclusive),銃器,Weapon,,,,,0,0,29188,0,直近30日間の取引データなし,2026-07-16
600,M4A1:ゾロ Lv.6(専属),M4A1: Zoro Deluxe Edition II (Exclusive),銃器,Weapon,,,,,21891,21891,48647,1,直近30日間の取引データなし,2026-07-16
601,M4A1:ゾロ Lv.7(専属),M4A1: Zoro Deluxe Edition III (Exclusive),銃器,Weapon,29188,2026-06-29,1,29188,29188,29188,72970,9,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
602,AUG:ゾロ Lv.7(専属),AUG: Zoro Deluxe Edition III(Exclusive),銃器,Weapon,,,,,19459,19459,38917,2,直近30日間の取引データなし,2026-07-16
604,M4A1:進撃の巨人 豪華旗艦版+(専属),M4A1: Power Reverence Deluxe Flagship Edition+ (Exclusive),銃器,Weapon,6486,2026-07-16,15,6486,6486,13065,12972,12,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
